region_nom_bdd,prefecture_nom_bdd,total_etablissements,nb_toilettes,nb_batiments,nb_bibliotheques,ratio_toilettes_par_etab,ratio_batiments_par_etab,a_bibliotheque,lat,lon,toilettes_norm,batiments_norm,bibliotheque_norm,score_infrastructure,indice_priorite
Maritime,Bas-Mono,252,216,505,0.0,0.86,2.0,0,6.460301217668953,1.6337713878612723,0.7142857142857143,0.6293103448275861,0.0,0.4479,0.5521
Centrale,Tchamba,324,243,709,0.0,0.75,2.19,0,8.81960064883284,1.4707291490623968,0.5714285714285714,0.7931034482758619,0.0,0.4548,0.5452
Maritime,Golfe,2403,1658,3050,2.0,0.69,1.27,1,6.174584768048618,1.2317177604916156,0.49350649350649345,0.0,1.0,0.4978,0.5022
Savanes,Oti-Sud,192,186,398,0.0,0.97,2.07,0,10.266037456220843,0.6537617565243647,0.857142857142857,0.6896551724137928,0.0,0.5156,0.4844
Savanes,Kpendjal-Ouest,145,156,298,0.0,1.08,2.06,0,10.853373838962618,0.4392480705079405,1.0,0.6810344827586207,0.0,0.5603,0.4397
Savanes,Cinkassé,165,169,372,0.0,1.02,2.25,0,11.07016834256933,0.0545500090371204,0.922077922077922,0.8448275862068965,0.0,0.589,0.411
Maritime,Avé,312,177,580,1.0,0.57,1.86,1,6.413872247371694,0.9570810151066974,0.3376623376623376,0.5086206896551724,1.0,0.6154,0.3846
Kara,Kéran,201,146,374,1.0,0.73,1.86,1,10.008305548288815,0.9575967695031808,0.5454545454545454,0.5086206896551724,1.0,0.6847,0.3153
Kara,Kozah,544,406,1056,2.0,0.75,1.94,1,9.558650534130736,1.1854100157628498,0.5714285714285714,0.5775862068965516,1.0,0.7163,0.2837
Savanes,Oti,223,194,482,1.0,0.87,2.16,1,10.473963452299312,0.4079829586189887,0.7272727272727273,0.7672413793103449,1.0,0.8315,0.1685
Savanes,Tône,654,523,1519,4.0,0.8,2.32,1,10.88759806575451,0.1996418900438361,0.6363636363636365,0.9051724137931032,1.0,0.8472,0.1528
